region,Sex,age,variable,value
Europe,Men,80-84,BMI < 18.5 kg/m²,0.00617590281376071
Europe,Men,85plus,BMI < 18.5 kg/m²,0.0116683361253701
Europe,Women,15-19,BMI < 18.5 kg/m²,0.142330032326151
Europe,Women,20-24,BMI < 18.5 kg/m²,0.139971585555479
Europe,Women,25-29,BMI < 18.5 kg/m²,0.0969808663519846
Europe,Women,30-34,BMI < 18.5 kg/m²,0.0689316508622196
Europe,Women,35-39,BMI < 18.5 kg/m²,0.0480003526286097
Europe,Women,40-44,BMI < 18.5 kg/m²,0.0338716750641278
Europe,Women,45-49,BMI < 18.5 kg/m²,0.0250314822793199
Europe,Women,50-54,BMI < 18.5 kg/m²,0.0200105190041346
Europe,Women,55-59,BMI < 18.5 kg/m²,0.0165448612667473
Europe,Women,60-64,BMI < 18.5 kg/m²,0.0137525808236253
Europe,Women,65-69,BMI < 18.5 kg/m²,0.0125695649756335
Europe,Women,70-74,BMI < 18.5 kg/m²,0.0130106504958682
Europe,Women,75-79,BMI < 18.5 kg/m²,0.0155388589363418
Europe,Women,80-84,BMI < 18.5 kg/m²,0.0186706753836008
Europe,Women,85plus,BMI < 18.5 kg/m²,0.0367289715564897
Global,Men,15-19,BMI < 18.5 kg/m²,0.317825702661709
Global,Men,20-24,BMI < 18.5 kg/m²,0.157986893472759
Global,Men,25-29,BMI < 18.5 kg/m²,0.0998544489218632
Global,Men,30-34,BMI < 18.5 kg/m²,0.0699822307135134
Global,Men,35-39,BMI < 18.5 kg/m²,0.057675092303488
Global,Men,40-44,BMI < 18.5 kg/m²,0.0544042823962778
Global,Men,45-49,BMI < 18.5 kg/m²,0.0525080664724788
Global,Men,50-54,BMI < 18.5 kg/m²,0.0513095563729915
Global,Men,55-59,BMI < 18.5 kg/m²,0.0534509889512987
Global,Men,60-64,BMI < 18.5 kg/m²,0.0595602732955223
Global,Men,65-69,BMI < 18.5 kg/m²,0.0639253680125596
Global,Men,70-74,BMI < 18.5 kg/m²,0.0704121498540537
Global,Men,75-79,BMI < 18.5 kg/m²,0.0787236445748844
Global,Men,80-84,BMI < 18.5 kg/m²,0.0890307388723085
Global,Men,85plus,BMI < 18.5 kg/m²,0.103127505815309
Global,Women,15-19,BMI < 18.5 kg/m²,0.233625250034812
Global,Women,20-24,BMI < 18.5 kg/m²,0.182916713995921
Global,Women,25-29,BMI < 18.5 kg/m²,0.127942509166167
Global,Women,30-34,BMI < 18.5 kg/m²,0.0922226953793121
Global,Women,35-39,BMI < 18.5 kg/m²,0.0702891450109977
Global,Women,40-44,BMI < 18.5 kg/m²,0.0581964646092917
Global,Women,45-49,BMI < 18.5 kg/m²,0.0530525637832742
Global,Women,50-54,BMI < 18.5 kg/m²,0.050225808916323
Global,Women,55-59,BMI < 18.5 kg/m²,0.0511537380181263
Global,Women,60-64,BMI < 18.5 kg/m²,0.0561719201134337
Global,Women,65-69,BMI < 18.5 kg/m²,0.0606304428267479
Global,Women,70-74,BMI < 18.5 kg/m²,0.0679391043212409
Global,Women,75-79,BMI < 18.5 kg/m²,0.0801517150145327
Global,Women,80-84,BMI < 18.5 kg/m²,0.0955123339089579
